subject,body,label
Urgent: Verify Your Account,Free gift card available for a limited time.,spam
HR Policy Update,Please review the updated HR policy attached in this email.,legit
Action Required: Account Verification,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Your Order Has Shipped,Please find the attached report for your review.,legit
Meeting Reminder,Agenda for the upcoming team outing is attached.,legit
Unusual Login Attempt Detected,"To continue using your account, please confirm your email address.",phishing
Invoice Attached,Agenda for the upcoming team outing is attached.,legit
Payment Failed – Verify Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Invoice Attached,Your subscription has been renewed successfully.,legit
Unusual Login Attempt Detected,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Suspicious Activity on Your Account,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Double Your Income in 7 Days,Free gift card available for a limited time.,spam
Earn $5000 working from home,Exclusive investment opportunity. Don't miss out!,spam
Limited Time Offer! Buy Now,Click here to claim your reward instantly.,spam
Your Account is Locked,"To continue using your account, please confirm your email address.",phishing
Free iPhone Giveaway,Earn $1000 per day online with this simple trick.,spam
Monthly Report Submission,Thank you for attending the meeting. Notes are attached.,legit
Suspicious Activity on Your Account,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Team Outing Schedule,Please review the updated HR policy attached in this email.,legit
Get Rich Quick!,Act now to secure your limited-time offer.,spam
Limited Time Offer! Buy Now,Click here to claim your reward instantly.,spam
Verify Your Bank Account Immediately,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Appointment Confirmation,Your order has been shipped and will arrive within 3-5 business days.,legit
Urgent: Verify Your Account,Act now to secure your limited-time offer.,spam
Your Account Has Been Suspended,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Meeting Reminder,Welcome to our newsletter! We will keep you updated weekly.,legit
HR Policy Update,Your subscription has been renewed successfully.,legit
HR Policy Update,Your subscription has been renewed successfully.,legit
Free iPhone Giveaway,Earn $1000 per day online with this simple trick.,spam
Claim Your Gift Card,Free gift card available for a limited time.,spam
Payment Failed – Verify Now,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Unauthorized Transaction Alert,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Your Account Has Been Suspended,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Winner Announcement Inside,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Your Account is Locked,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Urgent: Verify Your Account,You have won a free iPhone! Claim your prize before it expires.,spam
Your Order Has Shipped,Looking forward to our meeting tomorrow at 10 AM.,legit
Action Required: Account Verification,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Your Order Has Shipped,Welcome to our newsletter! We will keep you updated weekly.,legit
Meeting Reminder,Your order has been shipped and will arrive within 3-5 business days.,legit
Winner Announcement Inside,Earn $1000 per day online with this simple trick.,spam
Congratulations! You've won a prize,Click here to claim your reward instantly.,spam
Confirm Your Identity,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Welcome to Our Newsletter,Please review the updated HR policy attached in this email.,legit
Your Account Has Been Suspended,Your payment could not be processed. Update your billing information now.,phishing
Unauthorized Transaction Alert,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Confirm Your Identity,Your payment could not be processed. Update your billing information now.,phishing
Winner Announcement Inside,Free gift card available for a limited time.,spam
Get Rich Quick!,You have won a free iPhone! Claim your prize before it expires.,spam
Double Your Income in 7 Days,Exclusive investment opportunity. Don't miss out!,spam
Claim Your Gift Card,You have won a free iPhone! Claim your prize before it expires.,spam
Your Account Has Been Suspended,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Limited Time Offer! Buy Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Team Outing Schedule,Your subscription has been renewed successfully.,legit
Your Account is Locked,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Monthly Report Submission,Reminder: Submit your project update by Friday.,legit
Payment Failed – Verify Now,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Limited Time Offer! Buy Now,You have won a free iPhone! Claim your prize before it expires.,spam
Winner Announcement Inside,Exclusive investment opportunity. Don't miss out!,spam
Meeting Reminder,Your order has been shipped and will arrive within 3-5 business days.,legit
Weekly Digest,Looking forward to our meeting tomorrow at 10 AM.,legit
Action Required: Account Verification,"To continue using your account, please confirm your email address.",phishing
Meeting Reminder,Agenda for the upcoming team outing is attached.,legit
Invoice Attached,Kindly find the invoice for your recent purchase.,legit
Monthly Report Submission,Please review the updated HR policy attached in this email.,legit
Your Order Has Shipped,Welcome to our newsletter! We will keep you updated weekly.,legit
Monthly Report Submission,Agenda for the upcoming team outing is attached.,legit
Payment Failed – Verify Now,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Confirm Your Identity,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Unusual Login Attempt Detected,"To continue using your account, please confirm your email address.",phishing
Meeting Reminder,Thank you for attending the meeting. Notes are attached.,legit
Urgent: Verify Your Account,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Your Account is Locked,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Get Rich Quick!,Click here to claim your reward instantly.,spam
Congratulations! You've won a prize,Limited time offer! Buy now and save 50% on your order.,spam
HR Policy Update,Reminder: Submit your project update by Friday.,legit
Payment Failed – Verify Now,You have been selected for account verification. Click the link to proceed.,phishing
HR Policy Update,Please review the updated HR policy attached in this email.,legit
Your Account Has Been Suspended,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Team Outing Schedule,Welcome to our newsletter! We will keep you updated weekly.,legit
Congratulations! You've won a prize,You have won a free iPhone! Claim your prize before it expires.,spam
Appointment Confirmation,Thank you for attending the meeting. Notes are attached.,legit
Double Your Income in 7 Days,Click here to claim your reward instantly.,spam
Meeting Reminder,Welcome to our newsletter! We will keep you updated weekly.,legit
Urgent: Verify Your Account,Act now to secure your limited-time offer.,spam
Action Required: Account Verification,Your payment could not be processed. Update your billing information now.,phishing
Team Outing Schedule,Your subscription has been renewed successfully.,legit
Your Account Has Been Suspended,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Congratulations! You've won a prize,You have won a free iPhone! Claim your prize before it expires.,spam
Unusual Login Attempt Detected,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Unauthorized Transaction Alert,Your payment could not be processed. Update your billing information now.,phishing
Reset Your Password Now,"To continue using your account, please confirm your email address.",phishing
Verify Your Bank Account Immediately,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Lowest Price Ever! Shop Now,Free gift card available for a limited time.,spam
Invoice Attached,Please find the attached report for your review.,legit
Meeting Reminder,Agenda for the upcoming team outing is attached.,legit
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Earn $5000 working from home,Limited time offer! Buy now and save 50% on your order.,spam
Team Outing Schedule,Thank you for attending the meeting. Notes are attached.,legit
Verify Your Bank Account Immediately,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Unusual Login Attempt Detected,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Monthly Report Submission,Please review the updated HR policy attached in this email.,legit
Action Required: Account Verification,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Claim Your Gift Card,Limited time offer! Buy now and save 50% on your order.,spam
Get Rich Quick!,Work from home and earn thousands. Sign up today!,spam
Project Update,Welcome to our newsletter! We will keep you updated weekly.,legit
Confirm Your Identity,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Free iPhone Giveaway,Click here to claim your reward instantly.,spam
Congratulations! You've won a prize,Congratulations! Your lottery ticket has won. Redeem now.,spam
Suspicious Activity on Your Account,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Reset Your Password Now,Your payment could not be processed. Update your billing information now.,phishing
Your Account is Locked,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Your Account is Locked,Your payment could not be processed. Update your billing information now.,phishing
Appointment Confirmation,Your subscription has been renewed successfully.,legit
Meeting Reminder,Looking forward to our meeting tomorrow at 10 AM.,legit
HR Policy Update,Thank you for attending the meeting. Notes are attached.,legit
Suspicious Activity on Your Account,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Unusual Login Attempt Detected,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Congratulations! You've won a prize,Congratulations! Your lottery ticket has won. Redeem now.,spam
HR Policy Update,Reminder: Submit your project update by Friday.,legit
Free iPhone Giveaway,Limited time offer! Buy now and save 50% on your order.,spam
Payment Failed – Verify Now,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Action Required: Account Verification,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Earn $5000 working from home,Act now to secure your limited-time offer.,spam
Reset Your Password Now,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Appointment Confirmation,Your subscription has been renewed successfully.,legit
Team Outing Schedule,Please find the attached report for your review.,legit
Payment Failed – Verify Now,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Confirm Your Identity,"To continue using your account, please confirm your email address.",phishing
Your Order Has Shipped,Your order has been shipped and will arrive within 3-5 business days.,legit
Your Account is Locked,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Your Account is Locked,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Meeting Reminder,Kindly find the invoice for your recent purchase.,legit
Winner Announcement Inside,Free gift card available for a limited time.,spam
Get Rich Quick!,Click here to claim your reward instantly.,spam
Lowest Price Ever! Shop Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Project Update,Your subscription has been renewed successfully.,legit
Claim Your Gift Card,Earn $1000 per day online with this simple trick.,spam
Welcome to Our Newsletter,Please find the attached report for your review.,legit
Free iPhone Giveaway,Congratulations! Your lottery ticket has won. Redeem now.,spam
Your Order Has Shipped,Your subscription has been renewed successfully.,legit
Action Required: Account Verification,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Project Update,Please review the updated HR policy attached in this email.,legit
Weekly Digest,Your subscription has been renewed successfully.,legit
Verify Your Bank Account Immediately,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Verify Your Bank Account Immediately,"To continue using your account, please confirm your email address.",phishing
Lowest Price Ever! Shop Now,Work from home and earn thousands. Sign up today!,spam
Appointment Confirmation,Reminder: Submit your project update by Friday.,legit
Get Rich Quick!,Click here to claim your reward instantly.,spam
Meeting Reminder,Looking forward to our meeting tomorrow at 10 AM.,legit
Suspicious Activity on Your Account,You have been selected for account verification. Click the link to proceed.,phishing
Monthly Report Submission,Your order has been shipped and will arrive within 3-5 business days.,legit
Verify Your Bank Account Immediately,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Earn $5000 working from home,Limited time offer! Buy now and save 50% on your order.,spam
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Your Account Has Been Suspended,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Urgent: Verify Your Account,You have won a free iPhone! Claim your prize before it expires.,spam
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Payment Failed – Verify Now,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Double Your Income in 7 Days,Exclusive investment opportunity. Don't miss out!,spam
Monthly Report Submission,Agenda for the upcoming team outing is attached.,legit
Congratulations! You've won a prize,Congratulations! Your lottery ticket has won. Redeem now.,spam
Weekly Digest,Your order has been shipped and will arrive within 3-5 business days.,legit
Unauthorized Transaction Alert,Your payment could not be processed. Update your billing information now.,phishing
Team Outing Schedule,Please review the updated HR policy attached in this email.,legit
Suspicious Activity on Your Account,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Double Your Income in 7 Days,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Double Your Income in 7 Days,You have won a free iPhone! Claim your prize before it expires.,spam
Project Update,Your order has been shipped and will arrive within 3-5 business days.,legit
Claim Your Gift Card,Congratulations! Your lottery ticket has won. Redeem now.,spam
Congratulations! You've won a prize,Click here to claim your reward instantly.,spam
Action Required: Account Verification,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Your Account Has Been Suspended,"To continue using your account, please confirm your email address.",phishing
Suspicious Activity on Your Account,Your payment could not be processed. Update your billing information now.,phishing
Team Outing Schedule,Kindly find the invoice for your recent purchase.,legit
Congratulations! You've won a prize,You have won a free iPhone! Claim your prize before it expires.,spam
Unauthorized Transaction Alert,"To continue using your account, please confirm your email address.",phishing
Confirm Your Identity,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Payment Failed – Verify Now,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Double Your Income in 7 Days,Act now to secure your limited-time offer.,spam
Weekly Digest,Please review the updated HR policy attached in this email.,legit
Double Your Income in 7 Days,Free gift card available for a limited time.,spam
Payment Failed – Verify Now,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Welcome to Our Newsletter,Your order has been shipped and will arrive within 3-5 business days.,legit
Lowest Price Ever! Shop Now,Earn $1000 per day online with this simple trick.,spam
Verify Your Bank Account Immediately,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Action Required: Account Verification,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Meeting Reminder,Thank you for attending the meeting. Notes are attached.,legit
Earn $5000 working from home,Limited time offer! Buy now and save 50% on your order.,spam
Your Account is Locked,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Your Account Has Been Suspended,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Claim Your Gift Card,Exclusive investment opportunity. Don't miss out!,spam
Appointment Confirmation,Your subscription has been renewed successfully.,legit
Welcome to Our Newsletter,Welcome to our newsletter! We will keep you updated weekly.,legit
Earn $5000 working from home,Limited time offer! Buy now and save 50% on your order.,spam
Meeting Reminder,Agenda for the upcoming team outing is attached.,legit
Limited Time Offer! Buy Now,Free gift card available for a limited time.,spam
Weekly Digest,Please find the attached report for your review.,legit
Your Order Has Shipped,Your order has been shipped and will arrive within 3-5 business days.,legit
Double Your Income in 7 Days,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Earn $5000 working from home,Congratulations! Your lottery ticket has won. Redeem now.,spam
Weekly Digest,Please review the updated HR policy attached in this email.,legit
Earn $5000 working from home,Congratulations! Your lottery ticket has won. Redeem now.,spam
Action Required: Account Verification,You have been selected for account verification. Click the link to proceed.,phishing
Payment Failed – Verify Now,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Reset Your Password Now,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Your Account is Locked,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Winner Announcement Inside,Earn $1000 per day online with this simple trick.,spam
Your Order Has Shipped,Reminder: Submit your project update by Friday.,legit
Invoice Attached,Looking forward to our meeting tomorrow at 10 AM.,legit
Project Update,Please review the updated HR policy attached in this email.,legit
Your Account is Locked,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Double Your Income in 7 Days,Work from home and earn thousands. Sign up today!,spam
Suspicious Activity on Your Account,Your payment could not be processed. Update your billing information now.,phishing
Free iPhone Giveaway,You have won a free iPhone! Claim your prize before it expires.,spam
Suspicious Activity on Your Account,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Welcome to Our Newsletter,Agenda for the upcoming team outing is attached.,legit
Meeting Reminder,Looking forward to our meeting tomorrow at 10 AM.,legit
Unusual Login Attempt Detected,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Double Your Income in 7 Days,Congratulations! Your lottery ticket has won. Redeem now.,spam
Welcome to Our Newsletter,Agenda for the upcoming team outing is attached.,legit
Your Account is Locked,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Meeting Reminder,Your order has been shipped and will arrive within 3-5 business days.,legit
Winner Announcement Inside,You have won a free iPhone! Claim your prize before it expires.,spam
Limited Time Offer! Buy Now,You have won a free iPhone! Claim your prize before it expires.,spam
Free iPhone Giveaway,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Appointment Confirmation,Agenda for the upcoming team outing is attached.,legit
Winner Announcement Inside,Work from home and earn thousands. Sign up today!,spam
Confirm Your Identity,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Action Required: Account Verification,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Unusual Login Attempt Detected,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Meeting Reminder,Please find the attached report for your review.,legit
Action Required: Account Verification,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Lowest Price Ever! Shop Now,Limited time offer! Buy now and save 50% on your order.,spam
Lowest Price Ever! Shop Now,Work from home and earn thousands. Sign up today!,spam
Winner Announcement Inside,Exclusive investment opportunity. Don't miss out!,spam
Unauthorized Transaction Alert,"To continue using your account, please confirm your email address.",phishing
Your Account is Locked,You have been selected for account verification. Click the link to proceed.,phishing
Your Account is Locked,"To continue using your account, please confirm your email address.",phishing
Payment Failed – Verify Now,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Invoice Attached,Looking forward to our meeting tomorrow at 10 AM.,legit
Winner Announcement Inside,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Claim Your Gift Card,Limited time offer! Buy now and save 50% on your order.,spam
Verify Your Bank Account Immediately,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Your Account is Locked,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Lowest Price Ever! Shop Now,Act now to secure your limited-time offer.,spam
Congratulations! You've won a prize,Click here to claim your reward instantly.,spam
Limited Time Offer! Buy Now,Limited time offer! Buy now and save 50% on your order.,spam
Team Outing Schedule,Reminder: Submit your project update by Friday.,legit
Reset Your Password Now,"To continue using your account, please confirm your email address.",phishing
HR Policy Update,Please review the updated HR policy attached in this email.,legit
Confirm Your Identity,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Unauthorized Transaction Alert,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Payment Failed – Verify Now,Your payment could not be processed. Update your billing information now.,phishing
Congratulations! You've won a prize,Congratulations! Your lottery ticket has won. Redeem now.,spam
Double Your Income in 7 Days,Exclusive investment opportunity. Don't miss out!,spam
Action Required: Account Verification,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Weekly Digest,Please find the attached report for your review.,legit
Appointment Confirmation,Please find the attached report for your review.,legit
Free iPhone Giveaway,Limited time offer! Buy now and save 50% on your order.,spam
Congratulations! You've won a prize,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Verify Your Bank Account Immediately,Your payment could not be processed. Update your billing information now.,phishing
Meeting Reminder,Please find the attached report for your review.,legit
Welcome to Our Newsletter,Agenda for the upcoming team outing is attached.,legit
Invoice Attached,Please find the attached report for your review.,legit
Team Outing Schedule,Your subscription has been renewed successfully.,legit
Earn $5000 working from home,Work from home and earn thousands. Sign up today!,spam
Earn $5000 working from home,Act now to secure your limited-time offer.,spam
Appointment Confirmation,Reminder: Submit your project update by Friday.,legit
Meeting Reminder,Welcome to our newsletter! We will keep you updated weekly.,legit
Urgent: Verify Your Account,Work from home and earn thousands. Sign up today!,spam
Lowest Price Ever! Shop Now,Earn $1000 per day online with this simple trick.,spam
Free iPhone Giveaway,Congratulations! Your lottery ticket has won. Redeem now.,spam
Unauthorized Transaction Alert,Your payment could not be processed. Update your billing information now.,phishing
Your Account Has Been Suspended,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Project Update,Kindly find the invoice for your recent purchase.,legit
Your Account Has Been Suspended,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Monthly Report Submission,Reminder: Submit your project update by Friday.,legit
Your Account Has Been Suspended,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Congratulations! You've won a prize,Limited time offer! Buy now and save 50% on your order.,spam
Confirm Your Identity,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Appointment Confirmation,Welcome to our newsletter! We will keep you updated weekly.,legit
Suspicious Activity on Your Account,You have been selected for account verification. Click the link to proceed.,phishing
Free iPhone Giveaway,You have won a free iPhone! Claim your prize before it expires.,spam
HR Policy Update,Thank you for attending the meeting. Notes are attached.,legit
Monthly Report Submission,Please find the attached report for your review.,legit
Weekly Digest,Please review the updated HR policy attached in this email.,legit
Verify Your Bank Account Immediately,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Weekly Digest,Please review the updated HR policy attached in this email.,legit
Claim Your Gift Card,Work from home and earn thousands. Sign up today!,spam
Earn $5000 working from home,Congratulations! Your lottery ticket has won. Redeem now.,spam
Your Order Has Shipped,Your order has been shipped and will arrive within 3-5 business days.,legit
Lowest Price Ever! Shop Now,Free gift card available for a limited time.,spam
Invoice Attached,Looking forward to our meeting tomorrow at 10 AM.,legit
Welcome to Our Newsletter,Please find the attached report for your review.,legit
Payment Failed – Verify Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Your Account is Locked,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Limited Time Offer! Buy Now,Free gift card available for a limited time.,spam
Your Account is Locked,"To continue using your account, please confirm your email address.",phishing
Payment Failed – Verify Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Meeting Reminder,Your order has been shipped and will arrive within 3-5 business days.,legit
HR Policy Update,Agenda for the upcoming team outing is attached.,legit
Winner Announcement Inside,Work from home and earn thousands. Sign up today!,spam
Limited Time Offer! Buy Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Earn $5000 working from home,Work from home and earn thousands. Sign up today!,spam
Appointment Confirmation,Agenda for the upcoming team outing is attached.,legit
Winner Announcement Inside,You have won a free iPhone! Claim your prize before it expires.,spam
Weekly Digest,Kindly find the invoice for your recent purchase.,legit
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Your Order Has Shipped,Welcome to our newsletter! We will keep you updated weekly.,legit
Earn $5000 working from home,Limited time offer! Buy now and save 50% on your order.,spam
Unusual Login Attempt Detected,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Earn $5000 working from home,You have won a free iPhone! Claim your prize before it expires.,spam
Congratulations! You've won a prize,Congratulations! Your lottery ticket has won. Redeem now.,spam
Project Update,Please review the updated HR policy attached in this email.,legit
Payment Failed – Verify Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Verify Your Bank Account Immediately,"To continue using your account, please confirm your email address.",phishing
Winner Announcement Inside,Act now to secure your limited-time offer.,spam
Confirm Your Identity,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Suspicious Activity on Your Account,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Weekly Digest,Looking forward to our meeting tomorrow at 10 AM.,legit
Reset Your Password Now,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Meeting Reminder,Please find the attached report for your review.,legit
Unusual Login Attempt Detected,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Your Order Has Shipped,Please find the attached report for your review.,legit
Confirm Your Identity,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Limited Time Offer! Buy Now,Earn $1000 per day online with this simple trick.,spam
Payment Failed – Verify Now,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Monthly Report Submission,Please review the updated HR policy attached in this email.,legit
Unusual Login Attempt Detected,Your payment could not be processed. Update your billing information now.,phishing
Action Required: Account Verification,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Confirm Your Identity,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Earn $5000 working from home,Free gift card available for a limited time.,spam
Winner Announcement Inside,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Meeting Reminder,Please find the attached report for your review.,legit
Limited Time Offer! Buy Now,Congratulations! Your lottery ticket has won. Redeem now.,spam
Unauthorized Transaction Alert,Your payment could not be processed. Update your billing information now.,phishing
Team Outing Schedule,Agenda for the upcoming team outing is attached.,legit
Free iPhone Giveaway,You have won a free iPhone! Claim your prize before it expires.,spam
Invoice Attached,Looking forward to our meeting tomorrow at 10 AM.,legit
Payment Failed – Verify Now,Your payment could not be processed. Update your billing information now.,phishing
Your Account Has Been Suspended,You have been selected for account verification. Click the link to proceed.,phishing
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Limited Time Offer! Buy Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Weekly Digest,Looking forward to our meeting tomorrow at 10 AM.,legit
Appointment Confirmation,Your subscription has been renewed successfully.,legit
Confirm Your Identity,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Unauthorized Transaction Alert,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Confirm Your Identity,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Limited Time Offer! Buy Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Free iPhone Giveaway,Free gift card available for a limited time.,spam
Claim Your Gift Card,Act now to secure your limited-time offer.,spam
Suspicious Activity on Your Account,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Team Outing Schedule,Thank you for attending the meeting. Notes are attached.,legit
Suspicious Activity on Your Account,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Team Outing Schedule,Agenda for the upcoming team outing is attached.,legit
Action Required: Account Verification,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Unauthorized Transaction Alert,You have been selected for account verification. Click the link to proceed.,phishing
Monthly Report Submission,Your order has been shipped and will arrive within 3-5 business days.,legit
Your Account is Locked,Immediate action required: Your account has been flagged for suspicious activity.,phishing
HR Policy Update,Agenda for the upcoming team outing is attached.,legit
Team Outing Schedule,Your subscription has been renewed successfully.,legit
Unauthorized Transaction Alert,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Your Account is Locked,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Confirm Your Identity,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Confirm Your Identity,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Monthly Report Submission,Agenda for the upcoming team outing is attached.,legit
Lowest Price Ever! Shop Now,Free gift card available for a limited time.,spam
Congratulations! You've won a prize,Earn $1000 per day online with this simple trick.,spam
Limited Time Offer! Buy Now,Free gift card available for a limited time.,spam
Project Update,Your order has been shipped and will arrive within 3-5 business days.,legit
Verify Your Bank Account Immediately,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Your Order Has Shipped,Your order has been shipped and will arrive within 3-5 business days.,legit
Reset Your Password Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Urgent: Verify Your Account,You have won a free iPhone! Claim your prize before it expires.,spam
Welcome to Our Newsletter,Reminder: Submit your project update by Friday.,legit
Limited Time Offer! Buy Now,Free gift card available for a limited time.,spam
Confirm Your Identity,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Lowest Price Ever! Shop Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Action Required: Account Verification,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Reset Your Password Now,Your payment could not be processed. Update your billing information now.,phishing
Congratulations! You've won a prize,Work from home and earn thousands. Sign up today!,spam
Your Order Has Shipped,Please find the attached report for your review.,legit
Free iPhone Giveaway,Congratulations! Your lottery ticket has won. Redeem now.,spam
Reset Your Password Now,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Unauthorized Transaction Alert,Your payment could not be processed. Update your billing information now.,phishing
Your Order Has Shipped,Welcome to our newsletter! We will keep you updated weekly.,legit
Your Account Has Been Suspended,You have been selected for account verification. Click the link to proceed.,phishing
